,172,D.156.DELTA,D.171.ISIRR,SARAH Clearsky Shortwave (W/m²),SARAH DNI - backwards (W/m²),SARAH Diffuse Shortwave Radiation (W/m²),SARAH Global tilted radiation GTI (W/m²),SARAH Photosynthetic active radiation (W/m²),SARAH Photosynthetic photon flux density (µmol/m²),SARAH Shortwave Radiation (W/m²),ERA5T Temperature (°C),ERA5T Daylight Duration (min),ERA5T Cloud Cover Total (%),ERA5T DNI - backwards (W/m²)
2022-03-18 07:00:00,3.226,440.0,675.62,,,,,,,,-0.49,60.0,13.0,662.83105
2022-03-18 08:00:00,4.607,3344.0,836.143,579.0,763.0,142.0,818.3952,277.91998,1270.0944,579.0,1.49,60.0,72.0,724.2722
2022-03-18 09:00:00,5.69,3572.0,939.744,658.0,795.0,151.0,937.14185,315.84,1443.3888,658.0,2.88,60.0,97.0,500.00928
2022-03-18 10:00:00,6.827,3452.0,972.46,717.0,817.0,156.0,1025.3832,344.16,1572.8113,717.0,3.41,60.0,59.0,557.205
2022-03-18 11:00:00,7.632,3040.0,792.876,718.0,818.0,157.0,1027.3708,344.63998,1575.0048,718.0,4.14,60.0,100.0,407.60883
2022-03-18 12:00:00,7.811,2232.0,594.932,660.0,602.0,216.0,830.81683,289.91998,1324.9343,604.0,4.47,60.0,98.0,183.9264
2022-03-18 13:00:00,7.346,1480.0,426.254,549.0,461.0,224.0,633.31396,228.0,1041.9601,475.0,4.12,60.0,97.0,58.223625
2022-03-18 14:00:00,6.457,836.0,223.692,396.0,491.0,152.0,484.69626,172.8,789.69604,360.0,4.03,60.0,88.0,277.9514
2022-03-18 15:00:00,4.978,148.0,45.06,219.0,404.0,99.0,262.7844,95.52,436.5264,199.0,3.47,60.0,0.0,282.0908
2022-03-18 16:00:00,2.83,0.0,0.506,50.0,183.0,26.0,64.55677,23.039999,105.2928,48.0,2.61,60.0,0.0,311.86328
2022-03-18 17:00:00,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,21.0,0.0,0.0
2022-03-18 18:00:00,-0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.21,0.0,0.0,0.0
2022-03-18 19:00:00,-0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0
2022-03-18 20:00:00,-2.626,0.0,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.36,0.0,22.0,0.0
2022-03-18 21:00:00,-2.165,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.47,0.0,41.0,0.0
2022-03-18 22:00:00,-0.284,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,0.0,60.0,0.0
2022-03-18 23:00:00,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.65,0.0,76.0,0.0
2022-03-19 00:00:00,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.33,0.0,73.0,0.0
2022-03-19 01:00:00,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.68,0.0,61.0,0.0
2022-03-19 02:00:00,-1.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.29,0.0,35.0,0.0
2022-03-19 03:00:00,-2.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,0.0,32.0,0.0
2022-03-19 04:00:00,-3.249,44.0,24.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.16,0.0,39.0,0.0
2022-03-19 05:00:00,-1.194,476.0,148.949,51.0,121.0,28.0,45.252193,20.64,94.3248,43.0,-5.1,46.0,43.0,114.73705
2022-03-19 06:00:00,1.91,1456.0,416.758,220.0,234.0,101.0,208.56941,81.6,372.91202,170.0,-3.3,60.0,23.0,418.27588
2022-03-19 07:00:00,3.512,2060.0,538.542,398.0,542.0,148.0,494.0672,178.08,813.8256,371.0,-1.09,60.0,38.0,595.03827
2022-03-19 08:00:00,3.929,1268.0,330.197,551.0,277.0,242.0,481.5077,186.72,853.3104,389.0,0.73,60.0,99.0,530.2463
2022-03-19 09:00:00,4.669,1660.0,431.006,664.0,49.0,303.0,353.29544,160.31999,732.6624,334.0,1.22,60.0,98.0,231.88297
2022-03-19 10:00:00,5.455,2212.0,679.565,723.0,276.0,306.0,627.391,239.04,1092.4128,498.0,2.6,60.0,97.0,251.78897
2022-03-19 11:00:00,6.228,2680.0,761.217,723.0,448.0,296.0,803.7258,290.4,1327.128,605.0,3.39,60.0,100.0,243.7219
2022-03-19 12:00:00,7.584,3300.0,862.51,665.0,798.0,151.0,944.2182,319.19998,1458.744,665.0,4.04,60.0,100.0,366.796
2022-03-19 13:00:00,7.942,2388.0,674.626,554.0,751.0,139.0,781.745,265.91998,1215.2544,554.0,4.42,60.0,100.0,275.33548
2022-03-19 14:00:00,7.933,1476.0,394.782,401.0,613.0,127.0,540.2468,187.2,855.504,390.0,4.89,60.0,100.0,258.36005
2022-03-19 15:00:00,7.221,516.0,156.504,223.0,527.0,83.0,301.15515,107.04,489.17282,223.0,4.89,60.0,98.0,107.5813
2022-03-19 16:00:00,5.224,8.0,4.104,53.0,185.0,27.0,65.814354,24.0,109.68001,50.0,4.5,60.0,94.0,148.01865
2022-03-19 17:00:00,2.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,22.0,49.0,0.0
2022-03-19 18:00:00,1.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,7.0,0.0
2022-03-19 19:00:00,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,0.0,0.0
2022-03-19 20:00:00,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.04,0.0,0.0,0.0
2022-03-19 21:00:00,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.76,0.0,0.0,0.0
2022-03-19 22:00:00,-0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51,0.0,0.0,0.0
2022-03-19 23:00:00,-1.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.88,0.0,0.0,0.0
2022-03-20 00:00:00,-2.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.08,0.0,0.0,0.0
2022-03-20 01:00:00,-2.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.36,0.0,0.0,0.0
2022-03-20 02:00:00,-2.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.85,0.0,0.0,0.0
2022-03-20 03:00:00,-3.191,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.12,0.0,0.0,0.0
2022-03-20 04:00:00,-2.704,32.0,22.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.33,0.0,0.0,0.0
2022-03-20 05:00:00,-0.287,528.0,172.997,55.0,183.0,27.0,54.475994,24.48,111.873604,51.0,-4.48,48.0,0.0,137.68446
2022-03-20 06:00:00,3.607,1404.0,376.874,226.0,481.0,92.0,284.5093,105.119995,480.3984,219.0,-2.54,60.0,6.0,530.8665
2022-03-20 07:00:00,6.255,2176.0,616.4,404.0,477.0,163.0,476.22995,175.68,802.8576,366.0,0.49,60.0,13.200001,697.8964
2022-03-20 08:00:00,8.564,2892.0,754.704,563.0,708.0,154.0,764.8974,265.44,1213.0609,553.0,3.83,60.0,7.8,775.66455
2022-03-20 09:00:00,9.292,3176.0,838.596,673.0,511.0,252.0,770.08777,277.91998,1270.0944,579.0,5.97,60.0,1.5,835.6976
2022-03-20 10:00:00,10.931,3304.0,964.398,729.0,821.0,158.0,1030.8127,349.91998,1599.1344,729.0,7.15,60.0,0.0,874.0783
2022-03-20 11:00:00,11.358,3472.0,914.833,729.0,790.0,170.0,1015.5138,345.6,1579.3921,720.0,7.82,60.0,0.0,867.70917
2022-03-20 12:00:00,11.542,2680.0,705.927,670.0,800.0,151.0,946.07275,321.6,1469.712,670.0,8.34,60.0,32.0,658.68634
2022-03-20 13:00:00,11.794,2228.0,588.287,558.0,662.0,170.0,739.92737,257.28,1175.7697,536.0,8.68,60.0,89.0,494.29636
2022-03-20 14:00:00,11.931,1148.0,337.153,405.0,534.0,147.0,505.57208,181.44,829.18085,378.0,8.72,60.0,67.0,419.00815
2022-03-20 15:00:00,10.555,284.0,71.044,227.0,285.0,110.0,223.47351,88.32,403.6224,184.0,8.4,60.0,0.0,290.52682
2022-03-20 16:00:00,8.12,4.0,1.156,55.0,137.0,31.0,55.074684,22.56,103.099205,47.0,8.12,60.0,0.0,246.81189
2022-03-20 17:00:00,5.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,23.0,0.0,11.473705
2022-03-20 18:00:00,1.897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0
2022-03-20 19:00:00,-0.41,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0
2022-03-20 20:00:00,-1.07,0.0,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0
2022-03-20 21:00:00,-1.918,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0
2022-03-20 22:00:00,-1.837,0.0,0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,0.0,15.0,0.0
2022-03-20 23:00:00,-2.519,0.0,1.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.65,0.0,2.0,0.0
2022-03-21 00:00:00,-3.524,0.0,1.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.92,0.0,0.0,0.0
2022-03-21 01:00:00,-2.623,0.0,0.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.38,0.0,0.0,0.0
2022-03-21 02:00:00,-2.781,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.88,0.0,0.0,0.0
2022-03-21 03:00:00,-2.787,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.95,0.0,0.0,0.0
2022-03-21 04:00:00,-2.437,40.0,25.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.04,0.0,0.0,0.0
2022-03-21 05:00:00,0.943,588.0,191.33,58.0,188.0,29.0,56.6734,25.92,118.45441,54.0,-3.14,49.0,0.0,160.63187
2022-03-21 06:00:00,4.533,1636.0,435.967,232.0,536.0,85.0,302.59854,111.36,508.91522,232.0,-0.51,60.0,0.0,526.2413
2022-03-21 07:00:00,7.457,2392.0,658.483,410.0,675.0,119.0,556.9071,196.8,899.37604,410.0,2.31,60.0,0.0,700.65717
2022-03-21 08:00:00,9.904,3224.0,843.209,569.0,757.0,140.0,788.1381,273.12,1248.1584,569.0,5.75,60.0,0.0,797.79944
2022-03-21 09:00:00,12.145,3504.0,955.301,676.0,801.0,152.0,945.9602,324.47998,1482.8735,676.0,7.8,60.0,0.6,850.79535
2022-03-21 10:00:00,13.011,2896.0,900.113,734.0,630.0,235.0,917.3678,324.47998,1482.8735,676.0,9.58,60.0,17.0,874.9312
2022-03-21 11:00:00,14.618,3624.0,988.392,734.0,793.0,170.0,1018.7395,348.47998,1592.5536,726.0,10.73,60.0,14.0,874.5026
2022-03-21 12:00:00,15.104,3144.0,832.031,675.0,801.0,152.0,947.6237,324.0,1480.68,675.0,11.6,60.0,5.0,843.2748
2022-03-21 13:00:00,16.052,2380.0,691.566,563.0,755.0,139.0,784.80664,270.24,1234.9968,563.0,12.27,60.0,9.0,798.8352
2022-03-21 14:00:00,15.468,844.0,196.284,409.0,366.0,171.0,422.37643,161.76,739.2432,337.0,12.25,60.0,9.0,725.7887
2022-03-21 15:00:00,14.36,180.0,45.078,231.0,240.0,119.0,218.48776,88.32,403.6224,184.0,12.06,60.0,5.0,613.90533
2022-03-21 16:00:00,12.403,4.0,0.649,58.0,106.0,33.0,52.109,22.08,100.9056,46.0,10.69,60.0,2.0,413.804
2022-03-21 17:00:00,11.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,25.0,0.0,11.473705
2022-03-21 18:00:00,11.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,0.0,0.0,0.0
2022-03-21 19:00:00,11.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.0
2022-03-21 20:00:00,10.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,0.0,0.0,0.0
2022-03-21 21:00:00,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.89,0.0,0.0,0.0
2022-03-21 22:00:00,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23,0.0,0.0,0.0
2022-03-21 23:00:00,7.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,0.0,0.0,0.0
2022-03-22 00:00:00,6.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.0,0.0,0.0
2022-03-22 01:00:00,6.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0
2022-03-22 02:00:00,6.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0
2022-03-22 03:00:00,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0
2022-03-22 04:00:00,6.409,40.0,20.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0
2022-03-22 05:00:00,7.92,568.0,183.841,65.0,211.0,31.0,61.93605,28.8,131.616,60.0,4.63,51.0,0.0,160.63187
2022-03-22 06:00:00,10.817,1584.0,425.026,238.0,563.0,84.0,310.4272,115.2,526.464,240.0,5.78,60.0,0.0,500.11758
2022-03-22 07:00:00,12.923,2292.0,645.208,416.0,678.0,120.0,560.1585,199.68,912.5376,416.0,8.37,60.0,0.0,688.2457
2022-03-22 08:00:00,15.107,3180.0,826.851,570.0,758.0,141.0,783.9032,273.6,1250.352,570.0,10.81,60.0,0.0,787.8646
2022-03-22 09:00:00,16.314,3536.0,925.838,682.0,803.0,153.0,948.6637,327.36,1496.0352,682.0,12.13,60.0,0.0,839.18317
2022-03-22 10:00:00,17.021,3328.0,962.565,740.0,824.0,159.0,1035.0382,355.19998,1623.264,740.0,13.33,60.0,0.0,863.0182
2022-03-22 11:00:00,16.933,3568.0,940.763,738.0,824.0,158.0,1033.6483,354.24,1618.8768,738.0,13.79,60.0,0.0,864.51904
2022-03-22 12:00:00,17.356,3040.0,795.514,680.0,803.0,152.0,949.4513,326.4,1491.6481,680.0,14.07,60.0,0.0,847.9724
2022-03-22 13:00:00,16.897,2276.0,639.496,568.0,792.0,127.0,801.62866,276.47998,1263.5135,576.0,14.2,60.0,0.0,789.81305
2022-03-22 14:00:00,15.25,1552.0,400.973,414.0,639.0,127.0,552.5104,195.36,892.7952,407.0,13.67,60.0,0.0,723.74225
2022-03-22 15:00:00,13.584,540.0,150.711,236.0,539.0,86.0,308.95065,113.28,517.68964,236.0,12.96,60.0,0.0,609.4983
2022-03-22 16:00:00,11.389,12.0,4.08,63.0,245.0,32.0,76.90281,29.76,136.0032,62.0,11.48,60.0,0.0,403.26257
2022-03-22 17:00:00,9.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,26.0,0.0,11.473705
2022-03-22 18:00:00,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0
2022-03-22 19:00:00,6.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0
2022-03-22 20:00:00,4.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0
2022-03-22 21:00:00,4.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0
2022-03-22 22:00:00,2.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
2022-03-22 23:00:00,2.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0
2022-03-23 00:00:00,2.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0
2022-03-23 01:00:00,2.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0
2022-03-23 02:00:00,2.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
2022-03-23 03:00:00,1.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
2022-03-23 04:00:00,1.58,48.0,25.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0
2022-03-23 05:00:00,3.762,608.0,195.279,69.0,223.0,33.0,65.969246,31.199999,142.584,65.0,-0.45,53.0,0.0,183.57928
2022-03-23 06:00:00,8.353,1652.0,441.685,244.0,547.0,88.0,309.86703,117.119995,535.2384,244.0,1.83,60.0,0.0,526.2049
2022-03-23 07:00:00,12.049,2360.0,670.285,423.0,682.0,121.0,564.7703,203.04,927.8928,423.0,5.42,60.0,0.0,701.07306
2022-03-23 08:00:00,14.02,3232.0,849.352,576.0,760.0,141.0,787.1074,276.47998,1263.5135,576.0,9.11,60.0,0.0,798.4522
2022-03-23 09:00:00,15.254,3588.0,956.991,688.0,805.0,154.0,951.3517,330.24,1509.1968,688.0,11.04,60.0,0.0,849.463
2022-03-23 10:00:00,16.085,3344.0,986.024,746.0,826.0,159.0,1037.9694,358.08,1636.4257,746.0,12.6,60.0,0.0,876.77124
2022-03-23 11:00:00,16.996,3532.0,951.571,745.0,825.0,159.0,1037.819,357.6,1634.232,745.0,13.55,60.0,0.0,883.848
2022-03-23 12:00:00,17.333,3132.0,831.371,686.0,804.0,154.0,952.1349,329.28,1504.8097,686.0,14.09,60.0,0.0,868.68256
2022-03-23 13:00:00,17.426,2444.0,645.062,573.0,759.0,141.0,788.60614,275.04,1256.9329,573.0,14.46,60.0,0.0,832.1402
2022-03-23 14:00:00,16.987,1392.0,407.765,418.0,679.0,120.0,566.24994,200.64,916.9248,418.0,14.6,60.0,0.0,763.0087
2022-03-23 15:00:00,16.012,544.0,150.664,240.0,543.0,87.0,310.97952,115.2,526.464,240.0,14.42,60.0,0.0,638.34814
2022-03-23 16:00:00,12.333,16.0,3.956,66.0,253.0,32.0,78.09323,30.72,140.3904,64.0,12.54,60.0,0.0,424.9783
2022-03-23 17:00:00,6.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,0.0,11.473705
2022-03-23 18:00:00,4.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,0.0,0.0,0.0
2022-03-23 19:00:00,3.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0
2022-03-23 20:00:00,4.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0
2022-03-23 21:00:00,2.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0
2022-03-23 22:00:00,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0
2022-03-23 23:00:00,0.326,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0
2022-03-24 00:00:00,-1.153,0.0,0.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0
2022-03-24 01:00:00,-0.957,0.0,0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0
2022-03-24 02:00:00,-1.371,0.0,1.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0
2022-03-24 03:00:00,-1.53,0.0,1.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
2022-03-24 04:00:00,-1.258,52.0,28.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,0.0,0.0,0.0
2022-03-24 05:00:00,3.692,588.0,183.133,74.0,241.0,36.0,69.658485,33.6,153.552,70.0,0.4,55.0,0.0,206.52669
2022-03-24 06:00:00,8.402,1568.0,420.526,250.0,553.0,89.0,313.6848,120.0,548.4,250.0,3.28,60.0,0.0,530.36816
2022-03-24 07:00:00,13.556,2240.0,643.503,429.0,685.0,122.0,567.9474,205.92,941.05444,429.0,7.25,60.0,0.0,706.2274
2022-03-24 08:00:00,16.977,3064.0,817.619,582.0,763.0,142.0,789.93256,279.36,1276.6752,582.0,11.49,60.0,0.0,801.5664
2022-03-24 09:00:00,19.405,3384.0,930.157,694.0,807.0,154.0,954.30365,333.12,1522.3584,694.0,14.31,60.0,0.0,855.0153
2022-03-24 10:00:00,21.241,3188.0,971.689,751.0,828.0,159.0,1030.9335,360.47998,1647.3936,751.0,16.96,60.0,0.0,883.3545
2022-03-24 11:00:00,22.539,3324.0,918.449,750.0,827.0,159.0,1030.8024,360.0,1645.2001,750.0,18.45,60.0,0.0,889.1839
2022-03-24 12:00:00,23.342,2832.0,767.334,691.0,806.0,154.0,953.9086,331.68,1515.7776,691.0,19.63,60.0,0.0,876.1341
2022-03-24 13:00:00,23.708,2016.0,583.125,578.0,760.0,142.0,790.4671,277.44,1267.9009,578.0,20.34,60.0,0.0,839.48584
2022-03-24 14:00:00,23.238,1316.0,348.388,423.0,681.0,121.0,568.68195,203.04,927.8928,423.0,20.64,60.0,0.0,770.98206
2022-03-24 15:00:00,21.529,400.0,110.041,244.0,547.0,88.0,317.90332,117.119995,535.2384,244.0,20.35,60.0,0.0,645.71844
2022-03-24 16:00:00,17.141,12.0,1.928,69.0,258.0,34.0,81.32205,32.64,149.16481,68.0,16.66,60.0,0.0,427.0937
2022-03-24 17:00:00,15.757,0.0,1.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,28.0,0.0,22.94741
2022-03-24 18:00:00,14.238,0.0,1.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85,0.0,0.0,0.0
2022-03-24 19:00:00,13.362,0.0,1.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52,0.0,0.0,0.0
2022-03-24 20:00:00,11.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36,0.0,0.0,0.0
2022-03-24 21:00:00,9.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,0.0,0.0,0.0
2022-03-24 22:00:00,7.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,0.0,0.0,0.0
2022-03-24 23:00:00,7.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0
2022-03-25 00:00:00,7.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,0.0,1.0,0.0
2022-03-25 01:00:00,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.0,0.0,0.0
2022-03-25 02:00:00,6.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0
2022-03-25 03:00:00,5.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0
2022-03-25 04:00:00,5.559,56.0,25.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0
2022-03-25 05:00:00,9.215,580.0,183.074,79.0,184.0,41.0,65.69939,32.64,149.16481,68.0,3.88,57.0,0.0,229.4741
2022-03-25 06:00:00,12.536,1368.0,374.065,256.0,472.0,104.0,295.3993,117.119995,535.2384,244.0,6.03,60.0,0.0,530.31757
2022-03-25 07:00:00,14.218,2108.0,616.737,435.0,664.0,129.0,561.8468,206.4,943.248,430.0,8.91,60.0,0.0,699.1817
2022-03-25 08:00:00,15.18,2100.0,565.211,594.0,620.0,194.0,724.41046,266.4,1217.448,555.0,11.24,60.0,0.0,799.2351
2022-03-25 09:00:00,14.015,620.0,116.827,699.0,41.0,243.0,273.71716,129.12,590.0784,269.0,12.41,60.0,49.0,817.8773
2022-03-25 10:00:00,11.756,380.0,82.844,757.0,0.0,171.0,151.72498,82.08,375.10562,171.0,13.18,60.0,76.0,670.90497
2022-03-25 11:00:00,11.964,776.0,199.062,756.0,0.0,162.0,143.23209,77.759995,355.3632,162.0,11.73,60.0,98.0,278.07425
2022-03-25 12:00:00,10.912,484.0,108.615,695.0,1.0,200.0,179.52808,96.0,438.72003,200.0,8.85,60.0,100.0,60.43713
2022-03-25 13:00:00,10.38,788.0,201.117,582.0,1.0,168.0,149.3763,80.64,368.5248,168.0,8.45,60.0,100.0,105.84646
2022-03-25 14:00:00,10.929,364.0,104.751,427.0,186.0,173.0,283.6266,120.96,552.78723,252.0,8.66,60.0,95.0,190.65877
2022-03-25 15:00:00,10.342,220.0,58.394,248.0,230.0,115.0,207.70776,86.4,394.84802,180.0,8.89,60.0,64.0,241.1792
2022-03-25 16:00:00,8.554,16.0,2.336,72.0,162.0,40.0,65.09984,28.8,131.616,60.0,8.22,60.0,56.0,265.93887
2022-03-25 17:00:00,7.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,30.0,59.0,11.473705
2022-03-25 18:00:00,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,64.0,0.0
2022-03-25 19:00:00,6.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,4.0,0.0
2022-03-25 20:00:00,4.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0
2022-03-25 21:00:00,2.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0
2022-03-25 22:00:00,2.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,14.0,0.0
2022-03-25 23:00:00,1.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,37.0,0.0
2022-03-26 00:00:00,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,32.0,0.0
2022-03-26 01:00:00,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,22.0,0.0
2022-03-26 02:00:00,-0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,4.0,0.0
2022-03-26 03:00:00,-0.827,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0
2022-03-26 04:00:00,-1.353,80.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0
2022-03-26 05:00:00,3.534,636.0,189.127,84.0,182.0,44.0,68.436424,34.559998,157.9392,72.0,0.28,59.0,0.0,252.42151
2022-03-26 06:00:00,9.245,1576.0,423.994,262.0,518.0,97.0,310.59662,122.88,561.5616,256.0,2.59,60.0,0.0,534.2531
